"Location";"TimeStamp";"Year";"Month";"MonthDay";"DailyAmount";"Weekday"
"CampusA";"20100101";2010;"1";1;1170;"Tue"
"CampusA";"20100102";2010;"1";2;1660;"Wed"
"CampusA";"20100103";2010;"1";3;870;"Thu"
"CampusA";"20100104";2010;"1";4;1320;"Fri"
"CampusA";"20100105";2010;"1";5;5;"Sat"
"CampusA";"20100106";2010;"1";6;0;"Sun"
"CampusA";"20100107";2010;"1";7;1010;"Mon"
"CampusA";"20100108";2010;"1";8;3180;"Tue"
"CampusA";"20100109";2010;"1";9;1480;"Wed"
"CampusA";"20100110";2010;"1";10;1540;"Thu"
"CampusA";"20100111";2010;"1";11;1060;"Fri"
"CampusA";"20100112";2010;"1";12;30;"Sat"
"CampusA";"20100113";2010;"1";13;250;"Sun"
"CampusA";"20100114";2010;"1";14;1130;"Mon"
"CampusA";"20100115";2010;"1";15;890;"Tue"
"CampusA";"20100116";2010;"1";16;2030;"Wed"
"CampusA";"20100117";2010;"1";17;1160;"Thu"
"CampusA";"20100118";2010;"1";18;920;"Fri"
"CampusA";"20100119";2010;"1";19;190;"Sat"
"CampusA";"20100120";2010;"1";20;17;"Sun"
"CampusA";"20100121";2010;"1";21;310;"Mon"
"CampusA";"20100122";2010;"1";22;710;"Tue"
"CampusA";"20100123";2010;"1";23;1090;"Wed"
"CampusA";"20100124";2010;"1";24;960;"Thu"
"CampusA";"20100125";2010;"1";25;1200;"Fri"
"CampusA";"20100126";2010;"1";26;80;"Sat"
"CampusA";"20100127";2010;"1";27;49;"Sun"
"CampusA";"20100128";2010;"1";28;350;"Mon"
"CampusA";"20100129";2010;"1";29;900;"Tue"
"CampusA";"20100130";2010;"1";30;650;"Wed"
"CampusA";"20100201";2010;"2";1;1300;"Thu"
"CampusA";"20100202";2010;"2";2;2100;"Fri"
"CampusA";"20100203";2010;"2";3;1730;"Sat"
"CampusA";"20100204";2010;"2";4;2110;"Sun"
"CampusA";"20100205";2010;"2";5;1;"Mon"
"CampusA";"20100206";2010;"2";6;0;"Tue"
"CampusA";"20100207";2010;"2";7;1690;"Wed"
"CampusA";"20100208";2010;"2";8;2870;"Thu"
"CampusA";"20100209";2010;"2";9;1990;"Fri"
"CampusA";"20100210";2010;"2";10;2700;"Sat"
"CampusA";"20100211";2010;"2";11;1920;"Sun"
"CampusA";"20100212";2010;"2";12;50;"Mon"
"CampusA";"20100213";2010;"2";13;250;"Tue"
"CampusA";"20100214";2010;"2";14;1880;"Wed"
"CampusA";"20100215";2010;"2";15;1260;"Thu"
"CampusA";"20100216";2010;"2";16;1880;"Fri"
"CampusA";"20100217";2010;"2";17;2000;"Sat"
"CampusA";"20100218";2010;"2";18;1070;"Sun"
"CampusA";"20100219";2010;"2";19;580;"Mon"
"CampusA";"20100220";2010;"2";20;4;"Tue"
"CampusA";"20100221";2010;"2";21;520;"Wed"
"CampusA";"20100222";2010;"2";22;1280;"Thu"
"CampusA";"20100223";2010;"2";23;2090;"Fri"
"CampusA";"20100224";2010;"2";24;1240;"Sat"
"CampusA";"20100225";2010;"2";25;990;"Sun"
"CampusA";"20100226";2010;"2";26;400;"Mon"
"CampusA";"20100227";2010;"2";27;45;"Tue"
"CampusA";"20100228";2010;"2";28;560;"Wed"
"CampusA";"20100229";2010;"2";29;1190;"Thu"
"CampusA";"20100230";2010;"2";30;750;"Fri"
"CampusA";"20100301";2010;"3";1;1070;"Sat"
"CampusA";"20100302";2010;"3";2;1610;"Sun"
"CampusA";"20100303";2010;"3";3;1550;"Mon"
"CampusA";"20100304";2010;"3";4;950;"Tue"
"CampusA";"20100305";2010;"3";5;5;"Wed"
"CampusA";"20100306";2010;"3";6;0;"Thu"
"CampusA";"20100307";2010;"3";7;1070;"Fri"
"CampusA";"20100308";2010;"3";8;1710;"Sat"
"CampusA";"20100309";2010;"3";9;1210;"Sun"
"CampusA";"20100310";2010;"3";10;1160;"Mon"
"CampusA";"20100311";2010;"3";11;1130;"Tue"
"CampusA";"20100312";2010;"3";12;100;"Wed"
"CampusA";"20100313";2010;"3";13;210;"Thu"
"CampusA";"20100314";2010;"3";14;1030;"Fri"
"CampusA";"20100315";2010;"3";15;1030;"Sat"
"CampusA";"20100316";2010;"3";16;1250;"Sun"
"CampusA";"20100317";2010;"3";17;1380;"Mon"
"CampusA";"20100318";2010;"3";18;980;"Tue"
"CampusA";"20100319";2010;"3";19;280;"Wed"
"CampusA";"20100320";2010;"3";20;4;"Thu"
"CampusA";"20100321";2010;"3";21;300;"Fri"
"CampusA";"20100322";2010;"3";22;670;"Sat"
"CampusA";"20100323";2010;"3";23;1370;"Sun"
"CampusA";"20100324";2010;"3";24;1380;"Mon"
"CampusA";"20100325";2010;"3";25;1100;"Tue"
"CampusA";"20100326";2010;"3";26;200;"Wed"
"CampusA";"20100327";2010;"3";27;18;"Thu"
"CampusA";"20100328";2010;"3";28;340;"Fri"
"CampusA";"20100329";2010;"3";29;660;"Sat"
"CampusA";"20100330";2010;"3";30;650;"Sun"
"CampusA";"20100401";2010;"4";1;1030;"Mon"
"CampusA";"20100402";2010;"4";2;1740;"Tue"
"CampusA";"20100403";2010;"4";3;1170;"Wed"
"CampusA";"20100404";2010;"4";4;1130;"Thu"
"CampusA";"20100405";2010;"4";5;7;"Fri"
"CampusA";"20100406";2010;"4";6;0;"Sat"
"CampusA";"20100407";2010;"4";7;1730;"Sun"
"CampusA";"20100408";2010;"4";8;2080;"Mon"
"CampusA";"20100409";2010;"4";9;1050;"Tue"
"CampusA";"20100410";2010;"4";10;2040;"Wed"
"CampusA";"20100411";2010;"4";11;1070;"Thu"
"CampusA";"20100412";2010;"4";12;110;"Fri"
"CampusA";"20100413";2010;"4";13;250;"Sat"
"CampusA";"20100414";2010;"4";14;1060;"Sun"
"CampusA";"20100415";2010;"4";15;920;"Mon"
"CampusA";"20100416";2010;"4";16;950;"Tue"
"CampusA";"20100417";2010;"4";17;1120;"Wed"
"CampusA";"20100418";2010;"4";18;660;"Thu"
"CampusA";"20100419";2010;"4";19;260;"Fri"
"CampusA";"20100420";2010;"4";20;14;"Sat"
"CampusA";"20100421";2010;"4";21;370;"Sun"
"CampusA";"20100422";2010;"4";22;930;"Mon"
"CampusA";"20100423";2010;"4";23;1110;"Tue"
"CampusA";"20100424";2010;"4";24;1180;"Wed"
"CampusA";"20100425";2010;"4";25;700;"Thu"
"CampusA";"20100426";2010;"4";26;200;"Fri"
"CampusA";"20100427";2010;"4";27;41;"Sat"
"CampusA";"20100428";2010;"4";28;220;"Sun"
"CampusA";"20100429";2010;"4";29;770;"Mon"
"CampusA";"20100430";2010;"4";30;720;"Tue"
"CampusA";"20100501";2010;"5";1;1080;"Wed"
"CampusA";"20100502";2010;"5";2;1950;"Thu"
"CampusA";"20100503";2010;"5";3;810;"Fri"
"CampusA";"20100504";2010;"5";4;950;"Sat"
