,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,redCards,id,goals,assists,secondYellowCards
0,GB1,29,2023,Premier League,30,4,42,8,2.700',,130164,,,
1,FAC,29,2023,FA Cup,,,,,,,130164,,,
2,CGB,29,2023,EFL Cup,4,,3,1,360',,130164,,,
3,GB1,29,2022,Premier League,37,5,57,8,3.330',,130164,,,
4,FAC,29,2022,FA Cup,1,,3,,90',,130164,,,
5,GB1,29,2021,Premier League,35,2,58,7,3.150',,130164,,,
6,FAC,29,2021,FA Cup,2,,5,,180',,130164,,,
7,GB1,29,2020,Premier League,31,1,39,10,2.743',,130164,,,
8,FAC,29,2020,FA Cup,,,,,,,130164,,,
9,CGB,29,2020,EFL Cup,2,,3,,180',,130164,,,
10,GB1,29,2019,Premier League,38,2,56,9,3.420',,130164,,,
11,FAC,29,2019,FA Cup,1,,1,,90',,130164,,,
12,CGB,29,2019,EFL Cup,4,1,4,2,360',,130164,,,
13,GB1,29,2018,Premier League,38,1,46,14,3.420',,130164,,,
14,FAC,29,2018,FA Cup,2,,4,,180',,130164,,,
15,GB1,29,2017,Premier League,38,,58,10,3.420',,130164,,,
16,FAC,29,2017,FA Cup,1,,2,,90',,130164,,,
17,EL,29,2017,Europa League,3,,7,,270',,130164,,,
18,CGB,29,2017,EFL Cup,1,,2,,90',,130164,,,
19,ELQ,29,2017,Europa League Qualifying,3,,1,2,270',,130164,,,
20,GB1,289,2016,Premier League,29,,50,4,2.610',,130164,,,
21,CGB,289,2016,EFL Cup,3,,2,1,270',,130164,,,
22,GB21,9264,2016,Premier League 2,1,,1,,90',,130164,,,
23,GB1,289,2015,Premier League,2,,6,,180',,130164,,,
24,GB21,9264,2015,U21 PL,1,,2,,90',,130164,,,
25,FAC,289,2015,FA Cup,1,,3,,90',,130164,,,
26,GB2,466,2015,Championship,24,2,20,13,2.101',1,130164,,,
27,CGB,466,2015,League Cup,3,,3,1,300',,130164,,,
28,GB1,289,2014,Premier League,,,,,,,130164,,,
29,GB21,9264,2014,U21 PL,6,,4,5,540',,130164,,,
30,FAC,1027,2014,FA Cup,,,,,,,130164,,,
31,GB3,1027,2014,League One,33,1,36,10,2.891',2,130164,,,
32,GBFL,1027,2014,EFL Trophy,1,,1,,90',,130164,,,
33,GB3,1220,2013,League One,18,2,27,7,1.620',,130164,,,
34,GB21,9264,2013,U21 PL,2,,1,1,180',,130164,,,
35,FAC,289,2013,FA Cup,,,,,,,130164,,,
36,GB1,289,2013,Premier League,,,,,,,130164,,,
37,GB4,2963,2013,League Two,12,1,14,4,1.080',,130164,,,
38,CGB,2963,2013,League Cup,1,,1,,90',,130164,,,
39,GBQ1,9264,2012,U21 PL Qualificationsgr. 1,5,,8,1,450',,130164,,,
40,CNAT,3721,2012,Conference,12,1,12,4,1.080',,130164,,,
41,GB21,9264,2012,U21 PL,7,,10,2,630',,130164,,,
42,GBR,9264,2011,Reserve League,3,,5,1,270',,130164,,,
43,CNAT,1089,2011,Conference,17,1,39,2,1.530',,130164,,,
44,GBR,9264,2010,Reserve League,,,,,,,130164,,,
45,GBRN,9264,2009,Reserve League North,,,,,,,130164,,,
0,GB2,1039,2023,Championship,40,3,51,11,3.600',1,33873,,,
1,FAC,1039,2023,FA Cup,1,,3,,90',,33873,,,
2,GB1,29,2022,Premier League,1,,,1,90',,33873,,,
3,FAC,29,2022,FA Cup,,,,,,,33873,,,
4,CGB,29,2022,EFL Cup,2,,4,1,180',,33873,,,
5,GB1,29,2021,Premier League,3,,8,1,270',,33873,,,
6,FAC,29,2021,FA Cup,2,,2,1,210',,33873,,,
7,CGB,29,2021,EFL Cup,2,,3,,180',,33873,,,
8,POCC,989,2020,Championship Play-Offs,2,1,3,1,180',,33873,,,
9,GB2,989,2020,Championship,45,2,44,15,4.050',,33873,,,
10,FAC,989,2020,FA Cup,3,,4,1,270',,33873,,,
11,CGB,989,2020,EFL Cup,1,,,1,90',,33873,,,
12,IT1,5,2019,Serie A,2,,3,,128',,33873,,,
13,CIT,5,2019,Italy Cup,,,,,,,33873,,,
14,ASPK,10625,2019,Azerbaycan Kuboku,2,,1,1,180',,33873,,,
15,EL,10625,2019,Europa League,5,1,10,,450',,33873,,,
16,AZ1,10625,2019,Premyer Liqa,10,1,5,6,900',,33873,,,
17,GB1,989,2018,Premier League,24,,47,5,2.160',,33873,,,
18,GB1,989,2017,Premier League,38,2,61,6,3.420',,33873,,,
19,FAC,631,2016,FA Cup,3,,1,2,270',,33873,,,
20,GB1,631,2016,Premier League,2,,5,,180',,33873,,,
21,CGB,631,2016,EFL Cup,3,,6,,300',,33873,,,
22,GB1,631,2015,Premier League,17,,24,4,1.397',,33873,,,
23,FAC,631,2015,FA Cup,1,,,1,90',,33873,,,
24,CL,631,2015,Champions League,5,,3,3,450',,33873,,,
25,CGB,631,2015,League Cup,2,,2,,210',,33873,,,
26,GBCS,631,2015,Community Shield,,,,,,,33873,,,
27,GB1,512,2014,Premier League,35,3,43,7,3.150',,33873,,,
28,FAC,512,2014,FA Cup,1,,1,,90',,33873,,,
29,CGB,512,2014,League Cup,1,,3,,90',,33873,,,
30,GB1,512,2013,Premier League,32,1,36,9,2.880',,33873,1,,
31,FAC,512,2013,FA Cup,1,,1,,90',,33873,,,
32,CGB,512,2013,League Cup,,,,,,,33873,,,
