,id,from,to,date,upcoming,season,marketValue,fee
0,130164,289,29,"Jul 1, 2017",False,17/18,€15.00m,€28.50m
1,130164,466,289,"Jan 1, 2016",False,15/16,€500k,End of loan
2,130164,289,466,"Jul 31, 2015",False,15/16,€250k,loan transfer
3,130164,1027,289,"Mar 9, 2015",False,14/15,€250k,End of loan
4,130164,289,1027,"Jul 21, 2014",False,14/15,€250k,loan transfer
5,130164,1220,289,"May 31, 2014",False,13/14,€250k,End of loan
6,130164,289,1220,"Feb 8, 2014",False,13/14,€250k,loan transfer
7,130164,2963,289,"Nov 22, 2013",False,13/14,€150k,End of loan
8,130164,289,2963,"Aug 2, 2013",False,13/14,€150k,loan transfer
9,130164,9264,289,"Jul 1, 2013",False,13/14,,
10,130164,3721,9264,"Mar 26, 2013",False,12/13,,End of loan
11,130164,9264,3721,"Feb 26, 2013",False,12/13,,loan transfer
12,130164,12797,9264,"Jul 1, 2012",False,12/13,,
13,130164,1089,12797,"May 31, 2012",False,11/12,,End of loan
14,130164,12797,1089,"Jan 1, 2012",False,11/12,,loan transfer
0,33873,29,1039,"Jul 17, 2023",False,23/24,€800k,free transfer
1,33873,989,29,"Jul 20, 2021",False,21/22,€1.20m,free transfer
2,33873,5,989,"Aug 31, 2020",False,19/20,€2.00m,End of loan
3,33873,989,5,"Jan 13, 2020",False,19/20,€5.00m,"Loan fee:<br /><i class=""normaler-text"">€125k</i>"
4,33873,10625,989,"Dec 31, 2019",False,19/20,€5.00m,End of loan
5,33873,989,10625,"Sep 2, 2019",False,19/20,€7.00m,loan transfer
6,33873,631,989,"Jul 1, 2017",False,17/18,€8.00m,€11.50m
7,33873,512,631,"Jul 13, 2015",False,15/16,€12.00m,€11.00m
8,33873,1020,512,"Feb 1, 2010",False,09/10,€1.50m,€3.75m
9,33873,677,1020,"Nov 22, 2009",False,09/10,€400k,End of loan
10,33873,1020,677,"Oct 14, 2009",False,09/10,€400k,loan transfer
11,33873,972,1020,"Nov 6, 2008",False,08/09,€200k,End of loan
12,33873,1020,972,"Aug 7, 2008",False,08/09,€200k,loan transfer
13,33873,972,1020,"Apr 7, 2008",False,07/08,€200k,End of loan
14,33873,1020,972,"Mar 27, 2008",False,07/08,€200k,loan transfer
15,33873,989,1020,"Oct 11, 2007",False,07/08,€100k,End of loan
16,33873,1020,989,"Aug 10, 2007",False,07/08,€100k,loan transfer
17,33873,2436,1020,"Dec 31, 2006",False,06/07,€100k,End of loan
18,33873,1020,2436,"Nov 22, 2006",False,06/07,€100k,loan transfer
19,33873,2180,1020,"Dec 31, 2005",False,05/06,€100k,End of loan
20,33873,1020,2180,"Aug 15, 2005",False,05/06,,loan transfer
21,33873,6939,1020,"Jul 1, 2005",False,05/06,,
0,2857,51828,515,"Jan 1, 2024",False,23/24,€100k,
1,2857,29,51828,"Jan 31, 2023",False,22/23,€200k,free transfer
2,2857,515,29,"Sep 13, 2022",False,22/23,€250k,
3,2857,1003,515,"Jul 1, 2022",False,22/23,€250k,
4,2857,3008,1003,"Jul 19, 2017",False,17/18,€1.00m,€2.30m
5,2857,1150,3008,"Mar 27, 2014",False,13/14,€500k,End of loan
6,2857,3008,1150,"Feb 13, 2014",False,13/14,€500k,loan transfer
7,2857,1150,3008,"Jan 29, 2014",False,13/14,€500k,End of loan
8,2857,3008,1150,"Jan 8, 2014",False,13/14,€500k,loan transfer
9,2857,605,3008,"Jul 9, 2012",False,12/13,€750k,free transfer
10,2857,4602,605,"Aug 1, 2011",False,11/12,€1.25m,free transfer
11,2857,515,4602,"Jul 1, 2010",False,10/11,€1.25m,
12,2857,932,515,"Jan 1, 2010",False,09/10,€1.25m,
13,2857,504,932,"Jun 30, 2009",False,08/09,€1.50m,End of loan
14,2857,932,504,"Aug 1, 2007",False,07/08,€1.00m,loan transfer
15,2857,504,932,"Jan 1, 2006",False,05/06,€750k,€2.00m
16,2857,938,504,"Dec 1, 2005",False,05/06,€750k,End of loan
17,2857,504,938,"Jul 1, 2005",False,05/06,€500k,loan transfer
18,2857,5502,504,"Jul 1, 2003",False,03/04,,
0,14044,984,29,"Aug 20, 2021",False,21/22,€250k,free transfer
1,14044,512,984,"Jan 9, 2021",False,20/21,€250k,free transfer
2,14044,515,512,"Dec 2, 2020",False,20/21,€250k,
3,14044,31,515,"Aug 1, 2020",False,20/21,€250k,
4,14044,641,31,"Aug 12, 2019",False,19/20,€250k,free transfer
5,14044,1088,641,"Mar 29, 2019",False,18/19,€250k,End of loan
6,14044,641,1088,"Feb 7, 2019",False,18/19,€250k,loan transfer
7,14044,399,641,"Aug 2, 2018",False,18/19,€350k,free transfer
8,14044,543,399,"Aug 27, 2017",False,17/18,€500k,free transfer
9,14044,931,543,"Jul 1, 2016",False,16/17,€500k,€300k
10,14044,355,931,"Jul 1, 2015",False,15/16,€500k,free transfer
11,14044,399,355,"Jul 17, 2012",False,12/13,€500k,€320k
12,14044,466,399,"Jul 25, 2011",False,11/12,€700k,€325k
13,14044,352,466,"Nov 30, 2006",False,06/07,€300k,End of loan
14,14044,466,352,"Nov 3, 2006",False,06/07,€300k,loan transfer
15,14044,2805,466,"Nov 6, 2005",False,05/06,€400k,End of loan
16,14044,466,2805,"Oct 6, 2005",False,05/06,€400k,loan transfer
17,14044,1181,466,"Mar 17, 2003",False,02/03,,End of loan
18,14044,466,1181,"Feb 7, 2003",False,02/03,,loan transfer
19,14044,1089,466,"Dec 27, 2002",False,02/03,,End of loan
20,14044,466,1089,"Dec 20, 2002",False,02/03,,loan transfer
21,14044,6697,466,"Jul 1, 2002",False,02/03,,
0,173504,1132,29,"Jul 2, 2022",False,22/23,€22.00m,free transfer
1,173504,1148,1132,"Feb 1, 2016",False,15/16,€350k,€4.00m
2,173504,1078,1148,"Jan 31, 2014",False,13/14,€50k,?
3,173504,14623,1078,"Jan 1, 2011",False,10/11,,
0,343475,1123,29,"Oct 5, 2020",False,20/21,€16.00m,€27.50m
1,343475,3054,1123,"May 31, 2018",False,17/18,€100k,End of loan
2,343475,1123,3054,"Aug 24, 2017",False,17/18,,loan transfer
3,343475,1252,1123,"Jan 15, 2016",False,15/16,,€2.95m
4,343475,15941,1252,"Jul 1, 2015",False,15/16,,
0,128901,543,1003,"Jul 1, 2023",False,23/24,€12.00m,€8.70m
1,128901,29,543,"Jun 30, 2023",False,22/23,€12.00m,End of loan
2,128901,543,29,"Aug 8, 2022",False,22/23,€25.00m,loan transfer
3,128901,1110,543,"Jul 3, 2015",False,15/16,€750k,€2.80m
4,128901,9252,1110,"Aug 6, 2014",False,14/15,€300k,€470k
5,128901,350,9252,"May 31, 2014",False,13/14,€300k,End of loan
6,128901,9252,350,"Jul 22, 2013",False,13/14,,loan transfer
7,128901,6922,9252,"Jul 1, 2011",False,11/12,,
0,118534,1132,29,"Jul 3, 2017",False,17/18,€18.00m,€28.50m
1,118534,9251,1132,"Jan 12, 2015",False,14/15,€500k,€2.56m
2,118534,1132,9251,"Jan 11, 2015",False,14/15,€500k,End of loan
3,118534,9251,1132,"Sep 1, 2014",False,14/15,€500k,loan transfer
4,118534,164,9251,"May 5, 2014",False,13/14,€500k,End of loan
5,118534,9251,164,"Mar 7, 2014",False,13/14,€500k,loan transfer
6,118534,22,9251,"Jan 29, 2014",False,13/14,€500k,End of loan
7,118534,9251,22,"Nov 28, 2013",False,13/14,€300k,loan transfer
8,118534,1003,9251,"May 14, 2013",False,12/13,,End of loan
9,118534,9251,1003,"Nov 6, 2012",False,12/13,,loan transfer
10,118534,5242,9251,"Jul 1, 2011",False,11/12,,
0,289446,430,1390,"Feb 1, 2024",False,23/24,€5.00m,free transfer
1,289446,29,430,"Aug 5, 2023",False,23/24,€10.00m,free transfer
2,289446,131,29,"Aug 9, 2018",False,18/19,€20.00m,€30.25m
3,289446,1023,131,"Jan 11, 2018",False,17/18,€9.00m,€12.40m
4,289446,11648,1023,"May 1, 2016",False,15/16,€650k,€3.20m
5,289446,10090,11648,"Jan 1, 2014",False,13/14,,?
6,289446,22633,10090,"Jan 1, 2013",False,12/13,,
0,348623,350,29,"May 31, 2024",True,23/24,€5.00m,End of loan
1,348623,29,350,"Feb 1, 2024",False,23/24,€5.00m,loan transfer
2,348623,180,29,"Jan 31, 2024",False,23/24,€5.00m,End of loan
3,348623,29,180,"Aug 25, 2023",False,23/24,€9.00m,loan transfer
