,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
0,56809,Alexandre Oukidja,Goalkeeper,"Jul 19, 1988",34,Algeria,FC Metz,"1,84m",right,"Jul 1, 2018",RC Strasbourg Alsace,€500k,,,
1,205465,Marc-Aurèle Caillard,Goalkeeper,"May 12, 1994",29,France,FC Metz,"1,91m",right,"Jul 20, 2020",EA Guingamp,€500k,,,
2,666975,Ousmane Ba,Goalkeeper,"Jun 6, 2002",21,Senegal,SO Cholet,"1,85m",right,"Jul 1, 2021",FC Metz B,€400k,,,
3,928873,Alexis Mirbach,Goalkeeper,"Mar 4, 2005",18,France,FC Metz B,"1,92m",right,"Aug 25, 2020",,€50k,,,
4,211637,Kiki Kouyaté,Centre-Back,"Apr 15, 1997",26,Mali,Montpellier HSC,"1,92m",right,"Jan 26, 2022",ESTAC Troyes,€5.00m,,,
5,520530,Fali Candé,Centre-Back,"Jan 24, 1998",25,Guinea-Bissau,FC Metz,"1,84m",left,"Jul 21, 2022",Portimonense SC,€2.50m,,,
6,57216,Ismaël Traoré,Centre-Back,"Aug 18, 1986",36,Cote d'Ivoire,FC Metz,"1,84m",right,"Jul 1, 2021",Angers SCO,€300k,,,
7,739076,Abou Lo,Centre-Back,"Jan 2, 2000",23,Senegal,FC Metz,"1,87m",right,"Jul 1, 2015",FC Metz B,€250k,,,
8,950892,Oussmane Kebe,Centre-Back,"Apr 28, 2003",20,France,RFC Seraing,"1,83m",left,"Jul 1, 2019",,,,,
9,344886,Matthieu Udol,Left-Back,"Mar 20, 1996",27,France,FC Metz,"1,78m",left,"Aug 12, 2022",FC Metz B,€2.50m,Team captain,,
10,384859,Fabien Centonze,Right-Back,"Jan 16, 1996",27,France,Hellas Verona,"1,82m",right,"Jan 1, 2022",RC Lens,€4.00m,,,
11,481513,Koffi Kouao,Right-Back,"May 20, 1998",25,Cote d'Ivoire,FC Metz,"1,73m",right,"Jul 21, 2021",FC Vizela,€2.00m,,,
12,743500,William Mikelbrencis,Right-Back,"Feb 25, 2004",19,France,Hamburger SV,"1,76m",right,"Aug 22, 2019",FC Metz B,€1.00m,,,
13,434358,Sofiane Alakouch,Right-Back,"Jul 29, 1998",24,Morocco,Paris FC,"1,75m",right,"Jul 1, 2019",Nîmes Olympique,€600k,"Cruciate ligament tear - Return expected on Jun 10, 2024",,
14,649020,Boubacar Traoré,Defensive Midfield,"Aug 20, 2001",21,Mali,Wolverhampton Wanderers,"1,83m",right,"Jul 1, 2020",AS Bamako,€5.00m,Called up to national team -  - cross-competition,"Returned after loan spell with Wolverhampton Wanderers; date: Jun 30, 2023; fee: End of loan",
15,293944,Habib Maïga,Defensive Midfield,"Jan 1, 1996",27,Cote d'Ivoire,Ferencvárosi TC,"1,81m",right,"Jul 7, 2022",: Ablöse €1.00m,€2.50m,,,
16,342209,Kévin N'Doram,Defensive Midfield,"Jan 22, 1996",27,France,FC Metz,"1,84m",right,"Jul 23, 2020",AS Monaco,€1.50m,,,
