,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,redCards,id,assists,goals,secondYellowCards
0,FR1,347,2023,Ligue 1,27,2,43,6,2.358',,56809,,,
1,FRC,347,2023,Coupe de France,1,,1,,90',,56809,,,
2,FR2,347,2022,Ligue 2,34,1,21,17,2.938',2,56809,,,
3,FRC,347,2022,Coupe de France,3,,3,1,270',,56809,,,
4,FR1,347,2021,Ligue 1,21,2,39,3,1.877',1,56809,,,
5,FRC,347,2021,Coupe de France,,,,,,,56809,,,
6,FR1,347,2020,Ligue 1,34,2,38,8,3.060',1,56809,,,
7,FRC,347,2020,Coupe de France,1,,,1,90',,56809,,,
8,FR1,347,2019,Ligue 1,27,3,31,8,2.385',,56809,,,
9,FRC,347,2019,Coupe de France,,,,,,,56809,,,
10,FRL,347,2019,Coupe de la Ligue,,,,,,,56809,,,
11,FR2,347,2018,Ligue 2,38,1,23,19,3.398',,56809,,,
12,FRC,347,2018,Coupe de France,,,,,,,56809,,,
13,FRL,347,2018,Coupe de la Ligue,,1,,,,,56809,,,
14,FR1,667,2017,Ligue 1,17,1,29,3,1.458',,56809,,,
15,FRC,667,2017,Coupe de France,2,,2,1,210',,56809,,,
16,FRL,667,2017,Coupe de la Ligue,2,,4,,188',,56809,,,
17,FR2,667,2016,Ligue 2,36,2,44,12,3.240',,56809,,,
18,FRC,667,2016,Coupe de France,,,,,,,56809,,,
19,FRL,667,2016,Coupe de la Ligue,,,,,,,56809,,,
20,FR3,667,2015,Championnat National,34,2,19,21,3.060',,56809,,,
21,FRC,667,2015,Coupe de France,1,,,,60',,56809,,,
22,FR3,667,2014,Championnat National,22,2,15,9,1.980',,56809,,,
23,FRC,667,2014,Coupe de France,2,,1,,180',,56809,,,
24,EBEL,29228,2013,Endrunde Jupiler Pro League,6,1,6,2,540',,56809,,,
25,BE2,29228,2013,Belgacom League,33,2,25,14,2.970',1,56809,,,
26,EBEL,29228,2012,Endrunde Jupiler Pro League,6,1,9,1,540',,56809,,,
27,BE2,29228,2012,Belgacom League,31,6,24,12,2.771',1,56809,,,
28,FR3,8728,2011,Championnat National,13,1,22,1,1.170',,56809,,,
29,FR1,1082,2010,Ligue 1,,,,,,,56809,,,
30,EL,1082,2010,Europa League,,,,,,,56809,,,
31,ELQ,1082,2010,Europa League Qualifying,,,,,,,56809,,,
32,FR1,1082,2009,Ligue 1,,,,,,,56809,,,
33,EL,1082,2009,Europa League,,,,,,,56809,,,
34,ELQ,1082,2009,Europa League Qualifying,,,,,,,56809,,,
35,FR1,1082,2008,Ligue 1,,,,,,,56809,,,
36,FR1,1082,2007,Ligue 1,,,,,,,56809,,,
37,FR2,1397,2005,Ligue 2,1,,2,,44',,56809,,,
