,id,from,to,date,upcoming,season,marketValue,fee
0,56809,667,347,"Jul 1, 2018",False,18/19,€700k,free transfer
1,56809,1082,667,"Aug 25, 2014",False,14/15,€250k,free transfer
2,56809,29228,1082,"Jun 30, 2014",False,13/14,€250k,End of loan
3,56809,1082,29228,"Jul 17, 2012",False,12/13,€200k,loan transfer
4,56809,8728,1082,"Jun 30, 2012",False,11/12,€200k,End of loan
5,56809,1082,8728,"Jan 27, 2012",False,11/12,€200k,loan transfer
6,56809,12765,1082,"Jul 1, 2007",False,07/08,,
7,56809,1397,12765,"Jul 1, 2006",False,06/07,,free transfer
8,56809,12753,1397,"Jul 1, 2005",False,05/06,,
0,205465,855,347,"Jul 20, 2020",False,20/21,€1.20m,free transfer
1,205465,3524,855,"Jul 1, 2017",False,17/18,€400k,?
2,205465,162,3524,"Jul 1, 2015",False,15/16,€150k,free transfer
3,205465,9668,162,"Jul 1, 2012",False,12/13,,
0,666975,3525,347,"Jun 30, 2024",True,23/24,€350k,End of loan
1,666975,347,3525,"Jul 22, 2023",False,23/24,€400k,loan transfer
2,666975,8179,347,"Jul 1, 2021",False,21/22,,
3,666975,30031,8179,"Sep 16, 2020",False,20/21,,?
0,928873,10849,8179,"Jul 1, 2022",False,22/23,,
1,928873,46608,10849,"Jul 1, 2021",False,21/22,,
2,928873,42622,46608,"Jul 1, 2020",False,20/21,,
0,211637,347,969,"Jan 20, 2023",False,22/23,€3.50m,€6.00m
1,211637,1095,347,"Aug 25, 2020",False,20/21,€2.20m,€3.50m
2,211637,67909,1095,"Jan 23, 2019",False,18/19,€300k,€700k
3,211637,10949,67909,"Jul 1, 2018",False,18/19,€300k,
4,211637,4697,10949,"Aug 20, 2016",False,16/17,,€450k
5,211637,21375,4697,"Jul 20, 2015",False,15/16,,?
0,520530,7378,347,"Jan 26, 2022",False,21/22,€1.00m,€2.50m
1,520530,67731,7378,"Jun 1, 2020",False,20/21,€25k,
2,520530,10330,67731,"Jul 1, 2018",False,18/19,€25k,?
3,520530,3268,10330,"Jun 30, 2018",False,17/18,€25k,End of loan
4,520530,10330,3268,"Sep 1, 2017",False,17/18,,loan transfer
5,520530,9844,10330,"Jul 10, 2017",False,17/18,,?
6,520530,21592,9844,"Jul 1, 2016",False,16/17,,free transfer
7,520530,74385,21592,"Jul 1, 2015",False,15/16,,free transfer
8,520530,74386,74385,"Jul 1, 2013",False,13/14,,
9,520530,75047,74386,"Jul 1, 2012",False,12/13,,?
0,57216,1420,347,"Jul 21, 2022",False,22/23,€600k,free transfer
1,57216,3911,1420,"Jul 1, 2015",False,15/16,€800k,free transfer
2,57216,1081,3911,"Jul 1, 2012",False,12/13,€1.00m,free transfer
3,57216,10880,1081,"Jul 1, 2007",False,07/08,,
0,739076,3525,347,"Jun 30, 2022",False,21/22,€500k,End of loan
1,739076,347,3525,"Jul 21, 2021",False,21/22,€100k,loan transfer
2,739076,8179,347,"Jul 1, 2021",False,21/22,€100k,
3,739076,2715,8179,"Jun 30, 2021",False,20/21,€100k,End of loan
4,739076,8179,2715,"Jul 1, 2020",False,20/21,,loan transfer
5,739076,30031,8179,"Feb 28, 2019",False,18/19,,?
0,950892,2715,8179,"Jun 30, 2024",True,23/24,€300k,End of loan
