,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,redCards,secondYellowCards,goals,id,assists
0,L1,80,2023,Bundesliga,26,5,52,4,2.340',,,,40792,
1,DFB,80,2023,DFB-Pokal,1,,2,,120',,,,40792,
2,L1,80,2022,Bundesliga,34,3,72,5,3.060',,,,40792,
3,DFB,80,2022,DFB-Pokal,3,1,2,2,270',,,,40792,
4,L1,80,2021,Bundesliga,31,2,45,7,2.790',,,,40792,
5,DFB,80,2021,DFB-Pokal,4,,4,1,331',,,,40792,
6,L2,80,2020,2. Bundesliga,30,2,33,11,2.619',,,,40792,
7,DFB,80,2020,DFB-Pokal,2,,2,1,185',1,,,40792,
8,L2,80,2019,2. Bundesliga,32,1,45,8,2.873',,1,,40792,
9,DFB,80,2019,DFB-Pokal,2,,4,,180',,,,40792,
10,L2,80,2018,2. Bundesliga,34,3,50,11,3.060',,,,40792,
11,DFB,80,2018,DFB-Pokal,,,,,,,,,40792,
12,L2,80,2017,2. Bundesliga,26,2,28,7,2.314',,,,40792,
13,DFB,80,2017,DFB-Pokal,1,,2,,90',,,,40792,
14,L2,80,2016,2. Bundesliga,34,3,47,6,3.060',,,,40792,
15,DFB,80,2016,DFB-Pokal,1,,4,,120',,,,40792,
16,L2,80,2015,2. Bundesliga,18,,23,4,1.620',,,,40792,
17,DFB,80,2015,DFB-Pokal,4,,3,3,360',,,,40792,
18,L2,254,2014,2. Bundesliga,29,2,28,12,2.610',,,,40792,
19,DFB,254,2014,DFB-Pokal,1,,4,,90',,,,40792,
20,L2,254,2013,2. Bundesliga,32,2,34,15,2.880',,,,40792,
21,DFB,254,2013,DFB-Pokal,3,,6,,300',,,,40792,
22,L2PO,81,2012,Relegation 2. Bundesliga,2,,2,1,180',,,,40792,
23,L3,81,2012,3. Liga,31,3,21,18,2.678',2,,,40792,
24,NDSP,81,2012,NDS-Pokal,,,,,,,,,40792,
25,L3,81,2011,3. Liga,35,3,32,14,3.150',,,,40792,
26,DFB,81,2011,DFB-Pokal,1,,3,,120',,,,40792,
27,L2PO,81,2010,Relegation 2. Bundesliga,,,,,,,,,40792,
28,L2,81,2010,2. Bundesliga,,,,,,,,,40792,
29,OBLN,890,2010,OL Niedersachsen,4,,1,3,360',,,,40792,
30,DFB,81,2010,DFB-Pokal,,,,,,,,,40792,
31,L3,110,2009,3. Liga,25,5,42,9,2.250',,,,40792,
32,DFB,110,2009,DFB-Pokal,1,,1,,120',,,,40792,
33,L3,110,2008,3. Liga,26,4,37,10,2.340',,,,40792,
34,RS,110,2007,Regionalliga Süd,32,3,35,11,2.880',,,,40792,
35,DFB,110,2007,DFB-Pokal,1,,1,,120',,,,40792,
36,AJ3,8228,2006,U19-Bundesliga S/SW,25,3,38,3,2.174',,,2,40792,
37,L2,110,2006,2. Bundesliga,1,,1,,90',,,,40792,
38,OL0,5137,2006,Oberliga Bayern,7,1,8,1,630',,,,40792,
0,L2,30,2023,2. Bundesliga,,,,,,,,,316983,
1,SEC,1011,2023,Svenska Cupen,,,,,,,,,316983,
2,SE1,1011,2023,Allsvenskan,11,,17,2,975',1,,,316983,
3,L1,80,2022,Bundesliga,,,,,,,,,316983,
4,DFB,80,2022,DFB-Pokal,,,,,,,,,316983,
5,L2,41,2021,2. Bundesliga,7,,5,2,630',,,,316983,
6,DFB,41,2021,DFB-Pokal,,,,,,,,,316983,
7,CLQ,496,2021,Champions League Qu.,,,,,,,,,316983,
8,SE1,496,2021,Allsvenskan,9,,13,,810',,,,316983,
9,SEC,496,2020,Svenska Cupen,3,,4,,270',,,,316983,
