,id,from,to,date,upcoming,season,marketValue,fee
0,40792,254,80,"Jul 1, 2015",False,15/16,€900k,free transfer
1,40792,81,254,"Jul 5, 2013",False,13/14,€600k,€100k
2,40792,110,81,"Jul 1, 2010",False,10/11,€450k,free transfer
3,40792,5137,110,"Jul 1, 2007",False,07/08,€50k,
4,40792,8228,5137,"Jul 1, 2006",False,06/07,,
5,40792,21128,8228,"Jul 1, 2005",False,05/06,,
6,40792,42287,21128,"Jul 1, 2003",False,03/04,,free transfer
0,316983,30,41,"Jun 30, 2024",True,23/24,€350k,End of loan
1,316983,41,30,"Jan 30, 2024",False,23/24,€500k,loan transfer
2,316983,1011,41,"Dec 31, 2023",False,23/24,€500k,End of loan
3,316983,41,1011,"Aug 2, 2023",False,23/24,€400k,loan transfer
4,316983,80,41,"Jun 30, 2023",False,22/23,€400k,End of loan
5,316983,41,80,"Sep 1, 2022",False,22/23,€500k,loan transfer
6,316983,496,41,"Aug 11, 2021",False,21/22,€750k,€600k
7,316983,2719,496,"Jul 28, 2020",False,20/21,€350k,End of loan
8,316983,496,2719,"Jan 8, 2020",False,19/20,€400k,loan transfer
9,316983,7009,496,"Nov 30, 2019",False,19/20,€400k,End of loan
10,316983,496,7009,"Jan 9, 2019",False,18/19,€400k,loan transfer
11,316983,701,496,"Nov 30, 2018",False,18/19,€400k,End of loan
12,316983,496,701,"Jan 13, 2017",False,16/17,€75k,loan transfer
13,316983,7917,496,"Jan 1, 2015",False,14/15,,
14,316983,40593,7917,"Jan 1, 2014",False,13/14,,
0,61989,42,80,"Jul 1, 2021",False,21/22,€500k,free transfer
1,61989,533,42,"Jul 30, 2020",False,20/21,€400k,free transfer
2,61989,42,533,"Jan 14, 2020",False,19/20,€500k,free transfer
3,61989,105,42,"Jul 1, 2017",False,17/18,€2.00m,€2.00m
4,61989,122,105,"Jul 1, 2016",False,16/17,€900k,€350k
5,61989,80,122,"Jul 1, 2015",False,15/16,€500k,free transfer
6,61989,446,80,"Jul 1, 2010",False,10/11,€75k,
7,61989,4242,446,"Jul 1, 2008",False,08/09,,free transfer
8,61989,23905,4242,"Jul 1, 2007",False,07/08,,free transfer
9,61989,20768,23905,"Jul 1, 2006",False,06/07,,free transfer
10,61989,37517,20768,"Jul 1, 2005",False,05/06,,
11,61989,55339,37517,"Jul 1, 2004",False,04/05,,free transfer
12,61989,37136,55339,"Jul 1, 2002",False,02/03,,
13,61989,11894,37136,"Jul 1, 2001",False,01/02,,free transfer
14,61989,55341,11894,"Jul 1, 1999",False,99/00,,free transfer
15,61989,55343,55341,"Jul 1, 1997",False,97/98,,free transfer
16,61989,55345,55343,"Jul 1, 1993",False,93/94,,free transfer
0,452192,299,80,"Jun 30, 2024",True,23/24,€75k,End of loan
1,452192,80,299,"Jul 1, 2023",False,23/24,€100k,loan transfer
2,452192,3862,80,"Mar 2, 2019",False,18/19,,
3,452192,21085,3862,"Jul 1, 2018",False,18/19,,
4,452192,11894,21085,"Oct 1, 2016",False,16/17,,
5,452192,40051,11894,"Jul 1, 2014",False,14/15,,free transfer
0,343959,2282,80,"Oct 5, 2020",False,20/21,€250k,free transfer
1,343959,2414,2282,"Jul 31, 2020",False,19/20,€250k,End of loan
2,343959,2282,2414,"Jul 19, 2019",False,19/20,€250k,loan transfer
3,343959,7918,2282,"Jun 30, 2019",False,18/19,€250k,End of loan
4,343959,2282,7918,"Jul 30, 2018",False,18/19,€1.00m,loan transfer
5,343959,6621,2282,"Jul 1, 2017",False,17/18,€1.50m,€1.60m
6,343959,15058,6621,"Jan 1, 2016",False,15/16,,
0,118850,121,515,"Jul 1, 2024",True,24/25,€3.00m,
