,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
0,80894,Lukasz Skorupski,Goalkeeper,"May 5, 1991",32,Poland,Bologna FC 1909,"1,88m",right,"Jul 1, 2018",AS Roma,€3.50m,,,
1,390304,Federico Ravaglia,Goalkeeper,"Nov 11, 1999",23,Italy,Bologna FC 1909,"1,96m",right,"Jul 1, 2017",: Ablöse -,€450k,,,
2,110925,Francesco Bardi,Goalkeeper,"Jan 18, 1992",31,Italy,AC Reggiana 1919,"1,88m",right,"Jul 17, 2021",Frosinone Calcio,€400k,"Ankle sprain - Return expected on Apr 8, 2024",,
3,818892,Nicola Bagnolini,Goalkeeper,"Mar 14, 2004",19,Italy,Bologna FC 1909,"1,94m",right,"Jul 1, 2022",Bologna Primavera,€200k,,,
4,937891,Francesco Raffaelli,Goalkeeper,"May 21, 2005",18,Italy,US Grosseto 1912,,,"Aug 18, 2022",,,,,
5,413565,Jhon Lucumí,Centre-Back,"Jun 26, 1998",25,Colombia,Bologna FC 1909,"1,87m",left,"Aug 17, 2022",KRC Genk,€12.00m,,,
6,657742,Joaquín Sosa,Centre-Back,"Jan 10, 2002",21,Uruguay,CF Montréal,"1,89m",left,"Jul 1, 2021",Club Nacional,€3.00m,,"Returned after loan spell with GNK Dinamo Zagreb; date: Jan 10, 2024; fee: End of loan",
7,126673,Adama Soumaoro,Centre-Back,"Jun 18, 1992",31,France,Bologna FC 1909,"1,87m",right,"Jul 2, 2021",LOSC Lille,€3.00m,Patellar tendon rupture - Return unknown,,
8,247377,Kevin Bonifazi,Centre-Back,"May 19, 1996",27,Italy,Frosinone Calcio,"1,87m",right,"Aug 29, 2019",SPAL,€2.80m,,,
9,60889,Gary Medel,Centre-Back,"Aug 3, 1987",35,Chile,Clube de Regatas Vasco da Gama,"1,71m",right,"Jul 1, 2022",Besiktas JK,€800k,,,
10,818878,Wisdom Amey,Centre-Back,"Aug 11, 2005",17,Italy,Bologna Primavera,"1,82m",right,"Jul 6, 2022",Bologna Primavera,€700k,,,
