,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,id,assists,goals,redCards,secondYellowCards
0,IT1,1025,2023,Serie A,26,2,24,10,2.340',80894,,,,
1,CIT,1025,2023,Italy Cup,2,,,2,210',80894,,,,
2,IT1,1025,2022,Serie A,37,4,49,7,3.330',80894,,,,
3,CIT,1025,2022,Italy Cup,2,,1,1,180',80894,,,,
4,IT1,1025,2021,Serie A,36,4,53,12,3.240',80894,,,,
5,CIT,1025,2021,Italy Cup,1,,5,,90',80894,,,,
6,IT1,1025,2020,Serie A,28,1,46,4,2.520',80894,,,,
7,CIT,1025,2020,Italy Cup,,,,,,80894,,,,
8,IT1,1025,2019,Serie A,37,2,64,2,3.330',80894,,,,
9,CIT,1025,2019,Italy Cup,1,,,1,90',80894,,,,
10,IT1,1025,2018,Serie A,38,1,56,10,3.420',80894,,,,
11,CIT,1025,2018,Italy Cup,1,,,1,90',80894,,,,
12,IT1,12,2017,Serie A,1,,,1,90',80894,,,,
13,CL,12,2017,Champions League,,,,,,80894,,,,
14,CIT,12,2017,Italy Cup,1,,2,,90',80894,,,,
15,IT1,749,2016,Serie A,35,2,56,10,3.150',80894,,,,
16,CIT,749,2016,Italy Cup,,,,,,80894,,,,
17,IT1,749,2015,Serie A,31,2,43,9,2.790',80894,,,,
18,CIT,749,2015,Italy Cup,1,,1,,90',80894,,,,
19,IT1,12,2014,Serie A,3,,5,1,270',80894,,,,
20,EL,12,2014,Europa League,4,,6,,360',80894,,,,
21,CIT,12,2014,Italy Cup,2,,3,,210',80894,,,,
22,CL,12,2014,Champions League,2,,3,,180',80894,,,,
23,IT1,12,2013,Serie A,2,,2,,180',80894,,,,
24,CIT,12,2013,Italy Cup,1,,,1,90',80894,,,,
25,ITJ3,11997,2013,Primavera C,1,,1,,90',80894,,,,
26,PL1,428,2012,Ekstraklasa,29,,29,9,2.610',80894,,,,
27,POPU,428,2012,Fortuna Polish Cup,1,,2,,90',80894,,,,
28,PL1,428,2011,Ekstraklasa,27,1,28,8,2.430',80894,,,,
29,PL2,9239,2010,1 Liga,14,,9,5,1.241',80894,,,,
30,PL2,428,2009,1 Liga,,,,,,80894,,,,
0,IT1,1025,2023,Serie A,4,,1,3,360',390304,,,,
1,CIT,1025,2023,Italy Cup,2,,1,1,210',390304,,,,
2,IT1,1025,2022,Serie A,,,,,,390304,,,,
3,CIT,1025,2022,Italy Cup,,,,,,390304,,,,
4,IT2,1386,2022,Serie B,4,2,5,,360',390304,,,,
5,CIT,1386,2022,Italy Cup,1,,1,,90',390304,,,,
6,IT2,8970,2021,Serie B,27,,30,9,2.430',390304,,,,
7,CIT,8970,2021,Italy Cup,1,,1,,120',390304,,,,
8,IJ1,14848,2020,Primavera 1,1,,1,,90',390304,,,,
9,IT1,1025,2020,Serie A,4,,10,,360',390304,,,,
10,CIT,1025,2020,Italy Cup,,,,,,390304,,,,
11,IT3B,4326,2019,Serie C-B,24,3,25,9,2.160',390304,,,,
12,CILP,4326,2019,Coppa Serie C,1,,,1,90',390304,,,,
13,IT3P,4554,2018,PlayOff Lega Pro,,,,,,390304,,,,
14,IT3B,4554,2018,Serie C-B,1,1,1,,44',390304,,,,
15,CIT,4554,2018,Italy Cup,,,,,,390304,,,,
16,CILP,4554,2018,Coppa Serie C,1,,1,,120',390304,,,,
17,IT1,1025,2017,Serie A,,,,,,390304,,,,
18,IJ1,14848,2017,Primavera 1,24,1,34,5,2.160',390304,,,,
19,TDV,14848,2017,Viareggio Cup,3,,8,,270',390304,,,,
20,CITP,14848,2017,Coppa Primavera,1,,1,,120',390304,,,,
21,IT1,1025,2016,Serie A,,,,,,390304,,,,
22,ITJ3,14848,2016,Primavera C,24,,28,6,2.160',390304,,,,
23,TDV,14848,2016,Viareggio Cup,,,,,,390304,,,,
24,CITP,14848,2016,Coppa Primavera,,,,,,390304,,,,
25,ITJF,49759,2015,Under 17 - Finals,5,,9,,480',390304,,,,
26,ITJ5,49759,2015,Under 17 - B,20,1,23,11,1.800',390304,,,,
27,TDV,14848,2015,Viareggio Cup,,,,,,390304,,,,
0,IT2,5621,2023,Serie B,28,2,33,8,2.445',110925,,,,
1,CIT,5621,2023,Italy Cup,2,,3,,180',110925,,,,
2,IT1,1025,2022,Serie A,1,,,1,90',110925,,,,
3,CIT,1025,2022,Italy Cup,1,,,1,90',110925,,,,
4,IT1,1025,2021,Serie A,2,,2,1,178',110925,,,,
5,CIT,1025,2021,Italy Cup,,,,,,110925,,,,
6,IT2,8970,2020,Serie B,34,,39,11,3.060',110925,,,,
7,CIT,8970,2020,Italy Cup,,,,,,110925,,,,
8,POSB,8970,2019,Serie B Play-off,5,,4,2,480',110925,,,,
9,IT2,8970,2019,Serie B,36,2,35,15,3.117',110925,,,,
10,CIT,8970,2019,Italy Cup,2,,1,1,180',110925,,,,
11,IT1,8970,2018,Serie A,3,,5,1,270',110925,,,,
12,CIT,8970,2018,Italy Cup,,,,,,110925,,,,
13,POSB,8970,2017,Serie B Play-off,,,,,,110925,,,,
14,IT2,8970,2017,Serie B,25,1,27,8,2.205',110925,,,,
15,CIT,8970,2017,Italy Cup,,,,,,110925,,,,
16,POSB,8970,2016,Serie B Play-off,2,,1,1,180',110925,,,,
17,IT2,8970,2016,Serie B,40,7,41,12,3.600',110925,,,,
18,CIT,8970,2016,Italy Cup,1,,2,,90',110925,,,,
19,IT1,8970,2015,Serie A,2,,3,1,120',110925,,,,
20,ES1,714,2015,LaLiga,,,,,,110925,,,,
21,CDR,714,2015,Copa del Rey,2,1,3,,180',110925,,,,
22,IT1,862,2014,Serie A,10,,17,1,900',110925,,,,
23,CIT,862,2014,Italy Cup,1,,1,,90',110925,,,,
24,IT1,1210,2013,Serie A,35,4,69,3,3.150',110925,,,,
25,POSB,6692,2012,Serie B Play-off,2,,5,,180',110925,,,,
26,IT2,6692,2012,Serie B,35,4,39,6,3.150',110925,,,,
27,CIT,6692,2012,Italy Cup,1,,2,,90',110925,,,,
28,IT2,1210,2011,Serie B,34,4,38,6,3.029',110925,,,,
29,CIT,1210,2011,Italy Cup,1,,1,,90',110925,,,,
30,ITJE,5380,2010,Primavera Fase Finale,2,,2,1,240',110925,,,,
31,ITJ2,5380,2010,Primavera B,15,1,14,5,1.272',110925,,,,
32,TDV,5380,2010,Viareggio Cup,7,,1,6,660',110925,,,,
33,IT2,1210,2010,Serie B,,,,,,110925,,,,
34,ITJ1,12813,2010,Primavera A,5,,5,1,450',110925,,,,
35,CIT,1210,2010,Italy Cup,,,,,,110925,,,,
36,IT1,1210,2009,Serie A,1,,4,,90',110925,,,,
