,id,from,to,date,upcoming,season,marketValue,fee
0,80894,12,1025,"Jul 1, 2018",False,18/19,€7.00m,€9.00m
1,80894,749,12,"Jun 30, 2017",False,16/17,€7.00m,End of loan
2,80894,12,749,"Jul 1, 2015",False,15/16,€1.50m,loan transfer
3,80894,428,12,"Jul 12, 2013",False,13/14,€1.00m,€890k
4,80894,9239,428,"Jun 30, 2011",False,10/11,€125k,End of loan
5,80894,428,9239,"Feb 25, 2011",False,10/11,€50k,loan transfer
6,80894,15515,428,"Jul 1, 2008",False,08/09,,
0,390304,1386,1025,"Jan 13, 2023",False,22/23,€450k,End of loan
1,390304,1025,1386,"Jul 21, 2022",False,22/23,€500k,loan transfer
2,390304,8970,1025,"Jun 30, 2022",False,21/22,€500k,End of loan
3,390304,1025,8970,"Jul 17, 2021",False,21/22,€200k,loan transfer
4,390304,4326,1025,"Jun 30, 2020",False,19/20,€100k,End of loan
5,390304,1025,4326,"Jul 15, 2019",False,19/20,€50k,loan transfer
6,390304,4554,1025,"Jun 30, 2019",False,18/19,€50k,End of loan
7,390304,1025,4554,"Jul 10, 2018",False,18/19,€100k,loan transfer
8,390304,14848,1025,"Jul 1, 2017",False,17/18,€75k,
9,390304,49759,14848,"Jul 1, 2016",False,16/17,,
0,110925,1025,5621,"Jul 6, 2023",False,23/24,€400k,free transfer
1,110925,8970,1025,"Jul 17, 2021",False,21/22,€700k,?
2,110925,46,8970,"Jul 1, 2018",False,18/19,€1.00m,€1.00m
3,110925,8970,46,"Jun 30, 2018",False,17/18,€1.00m,End of loan
4,110925,46,8970,"Jan 28, 2016",False,15/16,€5.00m,loan transfer
5,110925,714,46,"Jan 27, 2016",False,15/16,€5.00m,End of loan
6,110925,46,714,"Jul 25, 2015",False,15/16,€7.00m,loan transfer
7,110925,862,46,"Jun 30, 2015",False,14/15,€8.00m,End of loan
8,110925,46,862,"Jul 5, 2014",False,14/15,€9.00m,loan transfer
9,110925,1210,46,"Jun 30, 2014",False,13/14,€8.50m,End of loan
10,110925,46,1210,"Jul 9, 2013",False,13/14,€6.00m,loan transfer
11,110925,6692,46,"Jun 30, 2013",False,12/13,€6.00m,End of loan
12,110925,46,6692,"Jul 14, 2012",False,12/13,€2.00m,loan transfer
13,110925,1210,46,"Jul 1, 2012",False,12/13,€2.00m,€1.50m
14,110925,5380,1210,"Aug 3, 2011",False,11/12,€300k,?
15,110925,1210,5380,"Jul 1, 2011",False,11/12,€300k,€900k
16,110925,5380,1210,"Jun 30, 2011",False,10/11,€300k,End of loan
17,110925,1210,5380,"Jan 3, 2011",False,10/11,€150k,"Loan fee:<br /><i class=""normaler-text"">€100k</i>"
18,110925,12813,1210,"Jul 1, 2009",False,09/10,,
0,818892,14848,1025,"Jul 1, 2022",False,22/23,,
1,818892,49759,14848,"Jul 1, 2021",False,21/22,,
2,818892,29348,49759,"Sep 1, 2020",False,20/21,,
3,818892,14892,29348,"Jul 1, 2018",False,18/19,,free transfer
0,937891,4333,14848,"Jun 30, 2024",True,23/24,€100k,End of loan
1,937891,14848,4333,"Jul 26, 2023",False,23/24,,loan transfer
2,937891,49759,14848,"Jul 1, 2022",False,22/23,,
0,413565,1184,1025,"Aug 18, 2022",False,22/23,€9.00m,€8.00m
1,413565,9961,1184,"Jul 18, 2018",False,18/19,€400k,€2.50m
2,413565,20589,9961,"Jan 1, 2016",False,15/16,,
0,657742,4078,1025,"Dec 31, 2024",True,24/25,€1.50m,End of loan
1,657742,1025,4078,"Jan 15, 2024",False,23/24,€1.50m,loan transfer
2,657742,419,1025,"Jan 10, 2024",False,23/24,€1.50m,End of loan
3,657742,1025,419,"Sep 4, 2023",False,23/24,€3.00m,loan transfer
4,657742,866,1025,"Aug 17, 2022",False,22/23,€500k,€950k
5,657742,10663,866,"Jul 31, 2022",False,22/23,€500k,End of loan
6,657742,866,10663,"Feb 3, 2022",False,21/22,€450k,loan transfer
7,657742,10632,866,"Dec 31, 2021",False,21/22,€375k,End of loan
8,657742,866,10632,"Apr 11, 2021",False,20/21,€100k,loan transfer
9,657742,16560,866,"Jan 1, 2020",False,19/20,,
0,126673,1082,1025,"Jul 1, 2021",False,21/22,€4.00m,€2.10m
1,126673,1025,1082,"Jun 30, 2021",False,20/21,€4.00m,End of loan
