,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,id,redCards,goals,secondYellowCards,assists
0,ES1,131,2023,LaLiga,20,2,17,11,1.800',74857,,,,
1,CL,131,2023,Champions League,6,,4,2,540',74857,,,,
2,ES1,131,2022,LaLiga,38,,18,26,3.348',74857,,,,
3,CDR,131,2022,Copa del Rey,3,,4,2,270',74857,,,,
4,EL,131,2022,Europa League,2,,4,,180',74857,,,,
5,SUC,131,2022,Supercopa,2,,3,,210',74857,,,,
6,CL,131,2022,Champions League,5,,10,,450',74857,,,,
7,ES1,131,2021,LaLiga,35,3,34,11,3.150',74857,,,,
8,EL,131,2021,Europa League,6,,8,1,540',74857,,,,
9,CDR,131,2021,Copa del Rey,1,,3,,120',74857,,,,
10,SUC,131,2021,Supercopa,1,,3,,120',74857,,,,
11,CL,131,2021,Champions League,6,,9,3,540',74857,,,,
12,ES1,131,2020,LaLiga,31,1,32,11,2.790',74857,,,,
13,CDR,131,2020,Copa del Rey,4,,5,2,420',74857,,,,
14,CL,131,2020,Champions League,5,,9,1,450',74857,,,,
15,SUC,131,2020,Supercopa,2,,4,,240',74857,,,,
16,CL,131,2019,Champions League,8,,13,2,720',74857,,,,
17,ES1,131,2019,LaLiga,36,1,36,14,3.240',74857,,,,
18,CDR,131,2019,Copa del Rey,2,,1,1,180',74857,,,,
19,ES1,131,2018,LaLiga,35,,32,16,3.150',74857,,,,
20,CL,131,2018,Champions League,11,,9,6,990',74857,,,,
21,CDR,131,2018,Copa del Rey,2,,1,1,180',74857,,,,
22,SUC,131,2018,Supercopa,1,1,1,,90',74857,,,,
23,ES1,131,2017,LaLiga,37,,28,19,3.330',74857,,,,
24,CDR,131,2017,Copa del Rey,,,,,,74857,,,,
25,CL,131,2017,Champions League,9,,6,5,810',74857,,,,
26,SUC,131,2017,Supercopa,2,,5,,180',74857,,,,
27,CDR,131,2016,Copa del Rey,1,,2,,90',74857,,,,
28,ES1,131,2016,LaLiga,36,1,33,13,3.240',74857,,,,
29,CL,131,2016,Champions League,9,1,12,4,810',74857,,,,
30,CDR,131,2015,Copa del Rey,7,,4,3,660',74857,,,,
31,ES1,131,2015,LaLiga,7,,7,3,542',74857,,,,
32,CL,131,2015,Champions League,10,,8,3,900',74857,,,,
33,KLUB,131,2015,Club World Cup,,,,,,74857,,,,
34,SUC,131,2015,Supercopa,1,,4,,90',74857,,,,
35,USC,131,2015,UEFA Super Cup,1,,4,,120',74857,,,,
36,CL,131,2014,Champions League,13,,11,6,1.170',74857,,,,
37,CDR,131,2014,Copa del Rey,8,,5,4,720',74857,,,,
38,ES1,131,2014,LaLiga,,,,,,74857,,,,
39,L1,18,2013,Bundesliga,34,1,43,9,3.060',74857,,,,
40,DFB,18,2013,DFB-Pokal,1,,,1,120',74857,,,,
41,L1,18,2012,Bundesliga,34,2,47,9,3.047',74857,,,,
42,EL,18,2012,Europa League,7,,11,3,630',74857,,,,
43,DFB,18,2012,DFB-Pokal,2,,1,1,210',74857,,,,
44,CLQ,18,2012,Champions League Qu.,2,,4,,180',74857,,,,
