,id,from,to,date,upcoming,season,marketValue,fee
0,74857,18,131,"Jul 1, 2014",False,14/15,€20.00m,€12.00m
1,74857,1006,18,"Sep 9, 2010",False,10/11,€200k,
2,74857,4121,1006,"Jul 1, 2010",False,10/11,€100k,
3,74857,21056,4121,"Jul 1, 2009",False,09/10,,
4,74857,11845,21056,"Jul 1, 2007",False,07/08,,
0,283170,141,131,"Jun 30, 2022",False,21/22,€4.20m,End of loan
1,283170,131,141,"Jan 31, 2022",False,21/22,€3.00m,loan transfer
2,283170,2464,131,"Jan 30, 2022",False,21/22,€3.00m,
3,283170,2470,2464,"Jul 1, 2018",False,18/19,,
4,283170,39813,2470,"Jul 1, 2015",False,15/16,,
5,283170,14321,39813,"Jul 1, 2014",False,14/15,,
6,283170,70295,14321,"Jul 1, 2013",False,13/14,,
7,283170,14740,70295,"Jul 1, 2012",False,12/13,,free transfer
0,466783,2464,583,"Jul 30, 2023",False,23/24,€5.00m,free transfer
1,466783,2470,2464,"Jul 1, 2020",False,20/21,,
2,466783,39813,2470,"Jul 1, 2018",False,18/19,,
3,466783,14321,39813,"Jul 1, 2017",False,17/18,,
4,466783,70295,14321,"Jul 1, 2016",False,16/17,,
0,709955,2470,2464,"Jul 1, 2023",False,23/24,,
1,709955,39813,2470,"Jul 1, 2021",False,21/22,,
2,709955,14321,39813,"Sep 9, 2020",False,20/21,,
3,709955,70295,14321,"Jul 1, 2019",False,19/20,,
4,709955,14733,70295,"Jul 1, 2018",False,18/19,,?
0,480267,2464,131,"Oct 5, 2020",False,20/21,€10.00m,
1,480267,18074,2464,"Aug 29, 2018",False,18/19,€175k,€4.70m
2,480267,10632,18074,"Jul 28, 2017",False,17/18,€100k,€395k
3,480267,20407,10632,"Jul 1, 2016",False,16/17,,
0,411975,368,131,"Jul 28, 2022",False,22/23,€60.00m,€50.00m
1,411975,40,368,"Jul 3, 2019",False,19/20,€15.00m,€35.00m
2,411975,10872,40,"Oct 10, 2017",False,17/18,,
3,411975,10873,10872,"Jul 1, 2016",False,16/17,,
0,196948,631,131,"Jul 4, 2022",False,22/23,€35.00m,free transfer
1,196948,18,631,"Jun 30, 2017",False,16/17,€18.00m,End of loan
2,196948,631,18,"Jul 10, 2015",False,15/16,€1.50m,loan transfer
3,196948,9250,631,"Jul 1, 2015",False,15/16,€1.50m,
4,196948,6918,9250,"Jul 1, 2013",False,13/14,,
5,196948,19982,6918,"Jul 1, 2012",False,12/13,,free transfer
6,196948,10875,19982,"Jul 1, 2011",False,11/12,,
7,196948,38577,10875,"Aug 10, 2004",False,04/05,,?
0,466794,12321,131,"Jun 30, 2024",True,23/24,€15.00m,End of loan
1,466794,131,12321,"Sep 1, 2023",False,23/24,€10.00m,loan transfer
2,466794,281,131,"Jul 1, 2021",False,21/22,€20.00m,free transfer
3,466794,9265,281,"Jul 1, 2019",False,19/20,,
4,466794,6930,9265,"Jul 1, 2018",False,18/19,,
5,466794,14321,6930,"Jul 1, 2017",False,17/18,,€1.70m
