BirthYear,Sex,LicenseYear,CarBrand,CarType,CarYear,CarEngine,EngineCap,CarValue,AssistanceYears,Accidents,NextAccident
1987,0,6.1642,9,4,2012,1782,124,61400,1.3328,0,1
1976,1,11.4121,3,2,2012,1246,147,60250,2.6656,0,0
1970,1,15.7437,3,2,2013,1318,120,61200,12.5783,0,0
1976,0,23.0741,8,1,1998,1766,NA,33600,14.161,1,0
1954,0,12.3284,3,1,2013,1908,184,44450,11.662,NA,0
1984,1,12.6616,3,3,2009,1966,146,54650,3.4153,0,0
1982,0,16.2435,1,3,2011,1330,131,51750,8.4966,2,0
1987,0,3.7485,4,3,2012,1178,80,69700,2.2491,3,0
1977,0,14.4109,1,2,2010,1974,162,53550,8.0801,2,1
1971,0,15.827,1,3,2009,1486,114,62800,6.9972,0,0
1977,0,23.8238,8,3,2010,1528,96,40500,11.4954,1,0
NA,1,12.495,4,2,2011,1616,196,79450,0.6664,1,1
1983,1,10.9956,9,3,2013,1658,NA,47500,9.163,0,1
1965,1,33.5699,2,3,2009,1100,99,46200,10.7457,0,0
1966,1,33.5699,9,2,2007,1360,124,34550,14.4109,2,1
1987,1,7.8302,5,2,2009,1378,123,41800,1.9159,0,0
1969,1,30.7377,9,2,2001,1320,143,30550,13.9944,NA,1
1981,1,15.2439,5,2,2010,1470,91,44450,8.7465,3,0
NA,0,31.7373,2,1,2011,1966,NA,54000,14.8274,1,0
1979,1,12.9948,3,2,2013,1488,116,48250,4.4982,3,0
NA,1,24.9067,3,3,2013,1308,103,53250,4.4982,3,0
1976,1,12.9948,7,3,2013,1384,100,59300,3.9151,0,0
1977,0,8.6632,7,3,2009,1216,123,43750,1.7493,0,0
1963,1,26.4894,4,3,2003,1712,159,37600,14.0777,0,0
1967,1,16.66,4,3,2005,1496,NA,32150,9.2463,0,1
1995,1,1.9159,4,2,2000,1300,122,34700,1.1662,NA,0
NA,0,10.4125,7,2,2007,1470,135,33300,8.6632,1,0
1990,0,6.1642,8,3,2008,1788,167,31900,3.2487,1,0
1965,1,25.7397,5,3,2007,1524,144,39800,2.0825,1,0
1973,1,15.7437,4,2,2012,1358,145,69750,8.6632,1,0
1955,0,21.0749,9,4,2008,2218,136,32650,10.6624,1,0
1990,1,8.4966,9,2,2008,1652,145,36200,3.0821,1,0
1983,0,14.4942,5,4,2010,1724,292,71250,3.2487,1,0
1987,0,4.2483,1,1,2011,1752,NA,58700,2.0825,0,1
1980,1,16.8266,5,3,2002,1184,94,35700,6.4974,1,0
1967,0,2.1658,2,2,2009,1658,168,63850,0.6664,1,1
1973,1,7.3304,4,2,2012,1430,136,57400,5.0813,0,0
1992,1,6.0809,2,2,2009,1168,94,51550,0.4165,0,0
1980,0,17.5763,4,4,2008,1982,NA,31100,4.7481,1,1
1978,0,17.6596,2,3,2003,1210,137,37000,11.4121,3,0
NA,1,8.2467,9,2,2013,1262,100,46650,4.0817,0,0
1973,1,16.66,1,3,2011,1128,92,69800,7.7469,0,0
1977,1,20.0753,4,3,2006,1246,137,34250,9.9127,3,0
1986,0,15.4938,3,2,2012,1220,123,46600,8.33,2,0
1968,0,19.2423,1,4,2010,2032,155,78850,12.9948,1,0
1989,1,11.8286,1,3,2011,1370,121,57650,5.4978,1,0
1976,1,8.4966,3,2,2013,1284,109,52900,5.6644,2,1
NA,0,6.3308,7,4,2010,2186,174,52000,2.7489,1,0
1977,1,18.2427,3,2,2008,1974,160,32900,2.4157,0,0
1984,0,0.9996,1,4,2013,2090,213,52650,0.5831,NA,0
1974,1,11.9952,5,3,2010,1706,178,50200,8.7465,0,0
1987,1,11.7453,8,2,2006,1604,164,33650,3.0821,0,0
1967,0,16.9099,3,1,2013,1814,NA,66150,4.2483,1,0
1981,1,2.9988,7,4,2013,1810,167,43850,1.2495,0,0
1982,1,15.5771,3,3,2004,1400,140,31300,9.996,0,0
NA,1,7.6636,3,2,2012,1430,147,59900,6.0809,0,0
1983,0,17.5763,3,4,2011,1782,NA,54650,8.4133,0,0
1964,1,1.5827,6,3,2008,1346,117,35500,0.4165,0,0
1968,0,14.4109,1,3,2013,1224,119,57200,5.7477,1,0
NA,1,8.33,5,3,2010,1210,128,56000,6.3308,3,0
1987,1,14.0777,2,2,2010,1428,98,42300,9.0797,1,0
1982,1,8.9964,5,3,2009,1166,94,56900,2.5823,1,1
1992,0,6.9972,2,2,2010,1144,87,63850,2.9155,1,0
1949,0,23.0741,3,3,2013,1342,NA,52900,18.5759,1,0
NA,1,17.8262,2,2,2011,1552,91,55750,0.833,1,0
1973,0,19.7421,8,4,2012,1744,142,43900,8.0801,2,0
NA,0,6.664,9,3,2013,1698,255,64200,4.2483,0,0
1987,0,1.5827,7,4,2012,1844,132,50500,0.7497,1,0
1988,1,5.5811,2,3,2007,1106,89,32000,4.0817,NA,0
1980,1,17.4097,3,2,2011,1532,NA,55100,11.0789,1,0
1980,0,7.5803,5,3,2011,1348,126,50350,3.0821,2,0
1979,1,12.5783,9,2,2009,1344,94,78400,4.6648,0,0
1994,1,4.3316,7,2,2012,1674,166,55000,4.2483,1,0
NA,1,11.3288,2,2,2009,1222,97,45750,8.33,1,0
1980,1,12.9948,9,3,2002,1410,105,33700,2.6656,0,0
1990,1,10.7457,5,3,2013,1522,102,51450,10.0793,2,0
1962,0,1.4161,5,4,2012,2054,178,77050,1.0829,NA,1
1984,1,8.33,3,4,2013,1890,134,49250,3.332,1,0
1972,0,15.6604,3,4,2009,2128,NA,45500,6.3308,1,0
1990,1,2.5823,8,2,2013,1224,127,60800,1.4994,1,0
NA,0,10.4958,9,2,2013,1446,124,56700,2.5823,1,0
NA,1,5.1646,5,2,2009,1446,91,63500,3.9984,1,0
1965,1,19.4922,2,3,2013,1660,258,71150,10.1626,1,0
1981,0,9.4962,5,4,2013,1952,132,65700,7.4137,NA,0
NA,1,7.4137,3,3,2010,1520,115,66200,6.5807,1,0
1976,0,12.8282,3,4,2012,1608,114,62250,7.1638,1,0
1985,0,8.1634,2,2,2013,1474,99,60800,4.998,1,1
1965,1,4.2483,8,1,2007,1770,218,34700,2.4157,2,0
NA,0,13.9944,9,3,2009,1870,174,54600,3.2487,4,0
1989,0,1.1662,1,3,2004,1322,103,34650,0.5831,0,0
1977,0,8.5799,1,2,2009,1670,176,60250,5.3312,1,1
1989,1,8.6632,3,2,2001,1580,118,33600,2.499,1,0
NA,1,33.4866,4,3,2008,1158,91,32350,19.4089,0,0
NA,1,27.9055,4,2,2010,1662,111,48900,15.3272,0,0
1958,1,5.2479,3,3,2013,1970,NA,46050,1.2495,3,0
1970,1,18.4926,3,3,2006,1484,92,35150,15.5771,0,0
1983,1,9.4962,2,2,2011,1950,151,51250,8.1634,0,0
1981,1,17.6596,1,3,2006,1168,NA,31500,5.2479,0,0
1986,0,12.6616,2,3,2010,1428,111,46350,3.9151,1,0
1986,0,6.8306,8,2,2002,1566,110,35650,2.4157,NA,0
1963,1,17.9928,3,2,2013,1418,NA,58900,2.6656,1,0
1977,1,8.9964,1,2,2011,1346,NA,51100,4.4982,1,0
1986,0,9.4129,2,3,2000,1792,275,37050,2.5823,2,1
1979,0,18.9091,2,3,2004,1408,144,33100,6.664,0,0
1969,0,31.4041,1,2,2000,1404,112,35150,19.6588,3,1
NA,0,7.2471,8,4,2006,2006,NA,33050,0.4165,0,0
1965,1,29.9047,5,1,2011,1816,180,47350,26.5727,0,0
1963,1,14.994,4,2,2012,1274,116,53550,8.7465,1,0
1984,1,14.9107,3,3,2011,1328,109,41750,10.7457,0,1
1982,0,9.996,1,1,2009,2188,NA,67700,7.3304,NA,0
1984,1,16.4101,3,2,2013,1966,247,61450,13.5779,1,0
1969,1,2.8322,6,1,2011,1714,NA,53900,1.7493,2,0
1991,0,5.5811,7,1,2013,1754,183,62500,4.4149,1,0
1965,1,22.7409,2,3,2013,1414,117,52100,8.6632,0,0
1962,0,2.5823,5,3,2010,1514,120,43500,0.4165,0,0
1965,0,6.664,9,3,2006,1232,94,35300,1.8326,2,0
1992,0,8.7465,5,4,2011,2374,NA,48050,2.1658,1,0
1985,1,7.9968,9,3,2013,1320,119,69350,3.9984,2,0
1981,0,14.6608,3,4,2013,2276,162,64000,7.8302,1,0
1984,0,13.4113,5,4,2012,1794,234,46150,3.2487,1,1
1975,1,7.7469,1,3,2011,1292,145,67950,6.0809,0,0
1977,1,12.5783,4,3,2009,1318,107,68800,4.2483,0,0
1989,1,1.1662,2,4,2013,1954,131,63700,0.6664,2,0
1960,1,28.2387,3,3,2013,1192,84,72900,3.332,1,0
1971,1,15.9103,8,2,2006,1592,NA,34850,7.3304,1,1
1970,1,28.4886,2,2,2008,1232,94,32550,10.6624,1,0
1989,1,1.1662,4,3,2013,1560,101,47500,0.4998,1,0
1956,0,19.0757,3,2,2013,1578,141,60250,14.9107,0,0
1995,0,2.1658,2,3,2008,1274,131,36550,0.4998,1,0
1988,0,10.4125,4,1,2011,1610,121,62150,9.5795,0,0
1972,0,19.4089,5,4,2013,1980,152,49000,6.1642,2,1
1988,0,8.4133,3,4,2013,2044,180,64200,7.9968,1,0
1982,1,3.5819,2,2,2010,1170,93,65900,3.332,1,0
NA,0,26.1562,5,1,2007,1736,127,30900,21.4081,NA,1
1995,1,6.664,1,3,2011,1564,106,68950,2.2491,1,1
1970,1,13.7445,2,2,2005,1480,113,32200,7.0805,0,0
1988,0,7.2471,4,3,2007,1792,155,34750,4.4149,0,0
NA,1,17.7429,8,3,2013,1312,112,62650,13.4946,1,0
1965,1,33.9864,5,3,2011,1306,122,41150,24.5735,NA,0
1989,0,4.8314,5,1,2010,1652,123,73450,3.0821,0,1
1963,1,34.6528,3,3,2006,1828,NA,34750,8.6632,1,1
1961,0,2.3324,8,3,2008,1148,75,34050,0.7497,1,1
NA,0,13.9944,5,2,2007,1352,NA,30000,3.0821,2,0
1953,1,46.2315,5,3,2007,1236,97,33600,40.4838,NA,0
1989,1,9.6628,3,2,2008,1786,115,32650,2.9155,0,1
1985,0,7.8302,3,2,2010,1706,192,42950,1.9992,1,0
1988,1,6.5807,4,3,2012,1548,129,57550,1.666,1,0
1985,0,6.9139,4,3,2006,1454,142,34100,2.3324,NA,1
1988,1,9.163,5,3,2012,1226,95,63500,8.9964,3,0
1955,1,36.9019,3,2,2012,1362,123,51400,24.157,1,0
NA,0,6.4141,3,3,2008,1388,98,33300,2.9988,0,0
1987,1,7.8302,6,2,2005,1316,125,34900,5.4145,0,1
1975,0,7.4137,9,3,2004,1332,94,34400,4.3316,0,1
1989,0,4.8314,2,4,2012,1880,231,57600,1.5827,1,1
NA,0,32.1538,8,2,2005,1640,223,32950,18.9091,1,0
